s_steady_load data/tapes/s_steady_load.tape
s_reload_mid data/tapes/s_reload_mid.tape
s_memo_stale data/tapes/s_memo_stale.tape
s_gen_skew data/tapes/s_gen_skew.tape
s_join_flip data/tapes/s_join_flip.tape
s_triple_analyze data/tapes/s_triple_analyze.tape
s_nested_q data/tapes/s_nested_q.tape
s_det_anchor data/tapes/s_det_anchor.tape
s_lane_skew data/tapes/s_lane_skew.tape
s_chain_analyze data/tapes/s_chain_analyze.tape
s_dual_fp data/tapes/s_dual_fp.tape
s_partial_flip data/tapes/s_partial_flip.tape
s_bucket_shift data/tapes/s_bucket_shift.tape
s_quad_analyze data/tapes/s_quad_analyze.tape
s_double_pause data/tapes/s_double_pause.tape
s_memo_rewind data/tapes/s_memo_rewind.tape
s_tie_carry data/tapes/s_tie_carry.tape
s_snap_buckets data/tapes/s_snap_buckets.tape
