date,is_weekend,is_holiday
2025-03-01,True,False
2025-03-02,True,False
2025-03-03,False,False
2025-03-04,False,False
2025-03-05,False,False
2025-03-06,False,False
2025-03-07,False,False
2025-03-08,True,False
2025-03-09,True,False
2025-03-10,False,False
2025-03-11,False,False
2025-03-12,False,False
2025-03-13,False,False
2025-03-14,False,False
2025-03-15,True,False
2025-03-16,True,False
2025-03-17,False,False
2025-03-18,False,False
2025-03-19,False,False
2025-03-20,False,False
2025-03-21,False,False
2025-03-22,True,False
2025-03-23,True,False
2025-03-24,False,False
2025-03-25,False,False
2025-03-26,False,False
2025-03-27,False,False
2025-03-28,False,False
2025-03-29,True,False
2025-03-30,True,False
2025-03-31,False,False
