T000000001	AC000001	20260601	500.00	CREDIT	USD
T000000002	AC000001	20260605	200.00	DEBIT	USD
T000000003	AC000001	20260610	100.00	INTEREST	USD
T000000010	AC000002	20260601	100.00	CREDIT	EUR
T000000011	AC000002	20260602	150.00	DEBIT	EUR
T000000020	AC000003	20260601	500.00	CREDIT	GBP
T000000021	AC000003	20260603	10.00	DEBIT	GBP
T000000022	AC000003	20260603	10.00	DEBIT	GBP
T000000023	AC000003	20260603	10.00	DEBIT	GBP
T000000024	AC000003	20260603	10.00	DEBIT	GBP
T000000025	AC000003	20260603	10.00	DEBIT	GBP
T000000026	AC000003	20260603	10.00	DEBIT	GBP
T000000040	AC000005	20260601	300.00	CREDIT	CHF
T000000041	AC000005	20260602	100.00	DEBIT	CHF
T000000030	AC000004	20260601
T00000031	AC000004	20260601	50.00	CREDIT	USD
T000000032	AC0001	20260601	50.00	CREDIT	USD
T000000033	AC000004	20261301	50.00	CREDIT	USD
T000000034	AC000004	20260601	-10.00	DEBIT	USD
T000000035	AC000004	20260601	50.00	WIRE	USD
T000000036	AC000004	20260601	50.00	CREDIT	CNY
T000000039	AC000004	20260531	100.00	CREDIT	USD
T000000037	AC000004	20260601	30.00	FEE	USD
T000000038	AC000004	20260000	50.00	CREDIT	USD
T000000001	AC000001	20260601	500.00	CREDIT	USD
T000000050	AC000006	20260601	50.00	CREDIT	USD
T000000051	AC000006	20260602	10.00	DEBIT	USD
T000000052	AC000006	20260602	10.00	DEBIT	USD
T000000053	AC000006	20260602	10.00	DEBIT	USD
T000000054	AC000006	20260602	10.00	DEBIT	USD
T000000055	AC000006	20260602	10.00	DEBIT	USD
T000000056	AC000006	20260602	10.00	DEBIT	USD
T000000060	AC000007	20260601	50.00	CREDIT	USD
T000000061	AC000007	20260602	40.00	DEBIT	USD
T000000062	AC000007	20260603	5.00	DEBIT	USD
T000000063	AC000007	20260604	40.00	REVERSAL	USD
T000000064	AC000007	20260605	50.00	DEBIT	USD
T000000070	AC000008	20260601	100.00	CREDIT	USD
T000000071	AC000008	20260602	25.00	REVERSAL	USD
T000000072	AC000008	20260603	25.00	DEBIT	USD
T000000073	AC000008	20260604	25.00	REVERSAL	USD
T000000080	AC000009	20260601	100.00	CREDIT	USD
T000000081	AC000009	20260602	20.00	DEBIT	USD
T000000082	AC000009	20260603	20.00	REVERSAL	USD
T000000083	AC000009	20260604	20.00	REVERSAL	USD
