T000000001	AC000001	20260401	1000.00	CREDIT	USD
T000000002	AC000001	20260501	9.90	INTEREST	USD
T000000010	AC000002	20260601	100.00	CREDIT	EUR
T000000011	AC000002	20260602	150.00	DEBIT	EUR
T000000020	AC000003	20260601	500.00	CREDIT	GBP
T000000021	AC000003	20260603	10.00	DEBIT	GBP
T000000022	AC000003	20260603	10.00	DEBIT	GBP
T000000023	AC000003	20260603	10.00	DEBIT	GBP
T000000024	AC000003	20260603	10.00	DEBIT	GBP
T000000025	AC000003	20260603	10.00	DEBIT	GBP
T000000026	AC000003	20260603	10.00	DEBIT	GBP
T000000040	AC000005	20260601	300.00	CREDIT	CHF
T000000041	AC000005	20260602	100.00	DEBIT	CHF
T000000091	AC000005	20260613	0.00	CREDIT	CHF
T000000030	AC000004	20260601
T00000031	AC000004	20260601	50.00	CREDIT	USD
T000000032	AC0001	20260601	50.00	CREDIT	USD
T000000033	AC000004	20261301	50.00	CREDIT	USD
T000000034	AC000004	20260601	-10.00	DEBIT	USD
T000000035	AC000004	20260601	50.00	WIRE	USD
T000000036	AC000004	20260601	50.00	CREDIT	CNY
T000000039	AC000004	20260531	100.00	CREDIT	USD
T000000037	AC000004	20260601	30.00	FEE	USD
T000000038	AC000004	20260000	50.00	CREDIT	USD
T000000090	AC000004	20260614	50.00	CREDIT	USD
T000000070	AC000007	20260301	5000.00	CREDIT	USD
T000000071	AC000007	20260401	1.00	INTEREST	USD
T000000080	AC000008	20241220	10000.00	CREDIT	USD
T000000081	AC000008	20250110	62.37	INTEREST	USD
T000000082	AC000009	20260201	4000.00	CREDIT	USD
T000000083	AC000009	20260301	36.96	INTEREST	USD
T000000084	AC000009	20260401	41.23	INTEREST	USD
T000000001	AC000001	20260401	1000.00	CREDIT	USD
