192.168.1.10,10.0.0.1,8080,443,TCP,15000,120,1000001000
192.168.1.11,10.0.0.2,9090,80,UDP,8000,95,1000001001
192.168.1.12,10.0.0.3,7070,443,TCP,25000,200,1000001002
192.168.1.13,10.0.0.4,6060,8080,TCP,12000,110,1000001003
192.168.1.14,10.0.0.5,5050,443,UDP,9500,88,1000001004
192.168.1.15,10.0.0.6,4040,80,TCP,18000,150,1000001005
192.168.1.16,10.0.0.7,3030,443,TCP,22000,180,1000001006
192.168.1.17,10.0.0.8,2020,80,UDP,7500,72,1000001007
192.168.1.18,10.0.0.9,1010,443,TCP,30000,250,1000001008
192.168.1.19,10.0.0.10,8000,8080,TCP,16000,135,1000001009
10.0.0.20,192.168.1.20,443,9090,TCP,11000,98,1000001010
10.0.0.21,192.168.1.21,80,7070,UDP,13500,115,1000001011
10.0.0.22,192.168.1.22,443,6060,TCP,20000,170,1000001012
10.0.0.23,192.168.1.23,8080,5050,TCP,14500,125,1000001013
10.0.0.24,192.168.1.24,443,4040,UDP,9000,85,1000001014
10.0.0.25,192.168.1.25,80,3030,TCP,17500,145,1000001015
10.0.0.26,192.168.1.26,443,2020,TCP,21000,175,1000001016
10.0.0.27,192.168.1.27,8080,1010,UDP,8500,78,1000001017
10.0.0.28,192.168.1.28,443,8000,TCP,26000,220,1000001018
10.0.0.29,192.168.1.29,80,9090,TCP,19000,160,1000001019
192.168.2.30,10.0.1.30,9090,443,TCP,15500,128,1000001020
192.168.2.31,10.0.1.31,7070,80,UDP,10500,92,1000001021
192.168.2.32,10.0.1.32,6060,443,TCP,23000,190,1000001022
192.168.2.33,10.0.1.33,5050,8080,TCP,12500,108,1000001023
192.168.2.34,10.0.1.34,4040,443,UDP,8200,76,1000001024
192.168.2.35,10.0.1.35,3030,80,TCP,18500,152,1000001025
192.168.2.36,10.0.1.36,2020,443,TCP,24000,195,1000001026
192.168.2.37,10.0.1.37,1010,80,UDP,7800,70,1000001027
192.168.2.38,10.0.1.38,8000,443,TCP,28000,235,1000001028
192.168.2.39,10.0.1.39,9090,8080,TCP,16500,138,1000001029
